ID,parent_ID,game_ID,quantity
8f7e6d5c-4b3a-421c-90ef-8d7c6b5a4b3a,f3b1a4c2-7d8e-4a1b-9c3f-5e6d7a8b9c01,07fe11fa-27da-4cb4-9826-791510b48dcd,2
1a2b3c4d-5e6f-4701-8234-56789abcdef0,f3b1a4c2-7d8e-4a1b-9c3f-5e6d7a8b9c01,376a15e1-3366-45a8-9644-3165b6b94b3b,1
9b8a7c6d-5e4f-4321-bcde-f0123456789a,f3b1a4c2-7d8e-4a1b-9c3f-5e6d7a8b9c01,0d516c2f-a5b5-4c63-85d8-224f8a7417c9,5
2c3d4e5f-6a7b-48cd-9ef0-123456789abc,f3b1a4c2-7d8e-4a1b-9c3f-5e6d7a8b9c01,486f6def-54c7-4ed0-951d-93bd757fc3cc,12
3d4e5f6a-7b8c-49de-af01-23456789abcd,da8e2c1b-4f5a-463d-82c1-93e4f5a6b7c8,07fe11fa-27da-4cb4-9826-791510b48dcd,1
4e5f6a7b-8c9d-40ef-b012-3456789abcde,da8e2c1b-4f5a-463d-82c1-93e4f5a6b7c8,f29cb5b7-807a-4c39-bf18-dc0609101346,3
5f6a7b8c-9d0e-41fa-c123-456789abcdef,da8e2c1b-4f5a-463d-82c1-93e4f5a6b7c8,6714c795-1824-4e4b-9cc6-799247091b03,1
6a7b8c9d-0e1f-42ab-d234-56789abcdef0,da8e2c1b-4f5a-463d-82c1-93e4f5a6b7c8,8b99c0a3-a141-4e1a-b540-ebff1a6cd83e,2
7b8c9d0e-1f2a-43bc-e345-6789abcdef01,a1b2c3d4-e5f6-47a8-b9c0-1d2e3f4a5b6c,376a15e1-3366-45a8-9644-3165b6b94b3b,1
8c9d0e1f-2a3b-44cd-f456-789abcdef012,a1b2c3d4-e5f6-47a8-b9c0-1d2e3f4a5b6c,6d73e09e-65be-4a70-8f13-c45694070317,4

